TradeID,Instrument,Notional,Counterparty,ExecutionTime,Venue
T001,EUR/USD,1000000,Bank A,2025-01-15 09:15:00,LSE
T002,GOOG,500000,Bank B,2025-02-15 10:02:00,NASDAQ
T003,XAU/USD,200000,Bank C,2025-03-15 11:30:00,OTC
T004,EUR/USD,4000000,Bank A,2025-04-15 09:15:00,LSE
T005,GOOG,500000,Bank B,2025-05-15 10:02:00,NASDAQ
T006,XAU/USD,600000,Bank C,2025-06-15 11:30:00,OTC
T007,EUR/USD,7000000,Bank A,2025-07-15 09:15:00,LSE
T008,GOOG,800000,Bank B,2025-08-15 10:02:00,NASDAQ
T009,XAU/USD,900000,Bank C,2025-09-15 11:30:00,OTC
T010,XAU/USD,1000000,Bank C,2025-10-15 11:30:00,OTC
